hour,minute,ir_value
0,0,0.11
0,30,0.09
1,0,0.48
1,30,0.75
2,0,0.58
2,30,0.83
3,0,0.28
3,30,0.52
4,0,0.07
4,30,0.42
5,0,0.49
5,30,0.24
6,0,0.19
6,30,0.38
7,0,0.08
7,30,0.51
8,0,0.73
8,30,0.73
9,0,0.73
9,30,0.73
10,0,0.73
10,30,0.73
11,0,0.52
11,30,0.01
12,0,0.16
12,30,0.62
13,0,0.90
13,30,0.68
14,0,0.59
14,30,0.55
15,0,0.46
15,30,0.48
16,0,0.22
16,30,0.42
17,0,0.78
17,30,0.78
18,0,0.78
18,30,0.78
19,0,0.78
19,30,0.78
20,0,0.13
20,30,0.60
21,0,0.01
21,30,0.33
22,0,0.55
22,30,0.42
23,0,0.16
23,30,0.33
